date,corridor,event_intensity,tone_severity,news_volume_spike,price_volatility
2026-04-02,hormuz,41.11,68.22,50.14,45.42
2026-04-03,hormuz,41.3,63.01,50.83,54.21
2026-04-04,hormuz,41.49,69.37,50.76,55.73
2026-04-05,hormuz,41.66,68.37,45.33,55.73
2026-04-06,hormuz,55.17,69.15,44.39,55.73
2026-04-08,hormuz,55.0,71.85,44.2,67.37
2026-04-09,hormuz,54.84,71.66,44.78,78.33
2026-04-10,hormuz,41.34,71.3,45.61,87.83
2026-04-11,hormuz,59.1,63.7,53.47,85.7
2026-04-13,hormuz,58.95,67.95,53.64,82.33
2026-04-14,hormuz,58.81,69.38,53.03,74.04
2026-04-15,hormuz,41.07,71.3,45.38,56.48
2026-04-17,hormuz,41.23,71.53,44.62,56.15
2026-04-18,hormuz,41.38,71.39,44.13,62.18
2026-04-19,hormuz,41.52,73.49,45.29,77.5
2026-04-20,hormuz,41.67,69.42,45.59,78.63
2026-04-21,hormuz,41.8,68.14,46.45,81.21
2026-04-22,hormuz,41.93,64.37,46.5,86.66
2026-04-23,hormuz,42.06,69.58,47.08,90.86
2026-04-25,hormuz,42.19,70.68,61.06,93.61
2026-04-26,hormuz,42.31,73.07,59.53,93.49
2026-04-27,hormuz,42.42,67.48,58.57,73.33
2026-04-28,hormuz,42.54,62.7,44.78,53.33
2026-04-29,hormuz,42.65,58.92,44.81,31.67
2026-04-30,hormuz,42.75,61.89,44.85,30.02
2026-05-02,hormuz,42.86,60.57,44.9,28.21
2026-05-03,hormuz,42.96,50.35,44.93,28.07
2026-05-04,hormuz,43.05,50.11,45.25,28.07
2026-05-05,hormuz,61.62,52.16,45.01,33.87
2026-05-07,hormuz,61.49,64.02,45.91,37.18
2026-05-08,hormuz,61.36,64.73,45.64,42.11
2026-05-09,hormuz,42.76,63.86,45.09,41.23
2026-05-10,hormuz,42.86,65.5,44.24,42.84
2026-05-11,hormuz,42.95,65.5,45.17,45.26
2026-05-12,hormuz,43.04,71.33,46.41,50.6
2026-05-13,hormuz,43.12,68.82,46.42,45.91
2026-05-14,hormuz,43.21,62.14,45.53,37.02
2026-05-15,hormuz,43.29,67.22,44.35,25.33
2026-05-17,hormuz,43.37,68.39,44.7,23.69
2026-05-18,hormuz,43.45,77.59,45.04,23.81
2026-05-19,hormuz,43.53,71.26,45.38,22.92
2026-05-21,hormuz,43.6,72.59,45.09,26.82
2026-05-22,hormuz,43.68,68.21,45.44,29.33
2026-05-23,hormuz,43.75,64.51,44.84,32.7
2026-05-24,hormuz,43.82,59.68,45.18,31.29
2026-05-25,hormuz,43.89,59.41,44.88,31.29
2026-05-27,hormuz,43.96,61.73,44.89,29.91
2026-06-01,hormuz,44.02,65.44,46.79,34.85
2026-06-02,hormuz,44.09,65.19,46.77,39.23
2026-06-15,hormuz,44.15,62.58,47.39,39.38
2026-06-16,hormuz,44.21,59.78,45.76,33.63
2026-06-18,hormuz,44.27,55.58,45.42,26.48
2026-06-19,hormuz,44.33,58.26,44.78,26.87
2026-06-24,hormuz,44.39,58.31,44.47,26.74
2026-06-26,hormuz,59.94,65.22,44.8,30.38
2026-06-29,hormuz,59.83,63.85,44.8,33.02
2026-06-30,hormuz,59.73,64.35,44.47,35.77
2026-07-01,hormuz,44.12,58.97,44.15,34.93
2026-07-05,hormuz,44.17,58.31,44.16,33.14
2026-07-07,hormuz,44.23,58.64,45.47,27.74
2026-07-08,hormuz,44.29,62.26,47.12,27.69
2026-07-09,hormuz,44.34,64.96,47.78,29.32
2026-07-10,hormuz,44.39,68.82,46.51,34.73
2026-07-11,hormuz,44.44,67.96,44.92,36.56
2026-07-13,hormuz,44.5,62.84,44.38,42.06
2026-07-15,hormuz,62.71,62.32,45.17,46.89
2026-07-16,hormuz,62.61,57.65,49.82,51.37
2026-07-17,hormuz,62.51,61.22,50.17,50.44
2026-07-18,hormuz,59.74,61.43,49.82,50.03
2026-07-20,hormuz,59.65,63.47,45.33,42.98
2026-07-21,hormuz,77.37,67.66,45.38,40.61
2026-07-22,hormuz,80.44,65.03,45.74,37.65
2026-07-24,hormuz,95.47,69.91,46.38,50.83
2026-07-26,hormuz,77.28,61.52,46.06,59.38
2026-07-27,hormuz,58.25,65.19,45.43,75.5
2026-07-28,hormuz,42.92,61.57,44.81,81.52
2026-07-29,hormuz,42.97,66.46,44.84,91.0
2026-08-02,hormuz,43.03,63.41,44.91,93.52
2026-08-03,hormuz,60.16,66.75,44.96,90.37
2026-08-05,hormuz,60.08,65.45,45.33,76.19
2026-08-08,hormuz,60.0,63.54,45.44,62.0
2026-08-11,hormuz,59.26,61.38,45.57,47.65
2026-08-16,hormuz,59.19,57.57,45.12,40.86
2026-08-17,hormuz,59.11,54.52,44.91,24.85
2026-08-18,hormuz,42.64,50.0,43.53,19.13
2026-08-19,hormuz,42.69,50.0,42.48,13.41
2026-08-20,hormuz,56.76,66.67,42.58,16.91
2026-08-21,hormuz,56.69,66.67,42.71,16.91
2026-08-22,hormuz,56.62,66.67,42.81,16.91
2026-08-23,hormuz,42.54,50.0,41.76,16.91
2026-08-16,iran_supply,50.0,50.0,50.0,6.42
2026-08-17,iran_supply,50.0,50.0,50.0,6.42
2026-08-18,iran_supply,50.0,50.0,50.0,9.92
2026-08-19,iran_supply,50.0,50.0,50.0,13.41
2026-08-20,iran_supply,50.0,50.0,50.0,16.91
2026-08-21,iran_supply,50.0,50.0,50.0,16.91
2026-08-22,iran_supply,50.0,50.0,50.0,16.91
2026-08-23,iran_supply,50.0,50.0,50.0,16.91
2023-09-01,red_sea,50.0,50.75,50.0,24.71
2023-09-02,red_sea,50.0,50.18,50.0,24.71
2023-09-03,red_sea,50.0,49.14,50.0,24.71
2023-09-04,red_sea,50.0,49.1,50.0,25.13
2023-09-05,red_sea,50.0,50.52,50.0,25.58
2023-09-06,red_sea,50.0,50.6,50.0,25.67
2023-09-07,red_sea,50.0,48.98,50.0,27.59
2023-09-08,red_sea,50.0,43.89,50.0,23.79
2023-09-09,red_sea,50.0,40.69,50.0,20.37
2023-09-10,red_sea,60.0,39.22,56.88,14.7
2023-09-11,red_sea,70.61,40.38,64.09,14.77
2023-09-12,red_sea,80.33,43.48,61.22,16.74
2023-09-13,red_sea,61.35,47.18,69.32,19.62
2023-09-14,red_sea,67.41,49.98,66.65,25.97
2023-09-15,red_sea,62.14,52.2,66.55,31.59
2023-09-16,red_sea,81.53,53.91,45.89,36.31
2023-09-17,red_sea,73.68,57.08,37.65,37.48
2023-09-18,red_sea,84.06,55.16,40.27,37.13
2023-09-19,red_sea,90.31,52.05,45.71,35.82
2023-09-20,red_sea,93.15,47.37,47.1,37.85
2023-09-21,red_sea,87.06,44.98,47.22,35.14
2023-09-22,red_sea,61.31,43.54,46.91,33.27
2023-09-23,red_sea,35.87,41.35,43.72,28.06
2023-09-24,red_sea,13.95,43.77,42.29,27.95
2023-09-25,red_sea,10.37,43.59,44.81,27.24
2023-09-26,red_sea,11.96,45.25,52.25,27.2
2023-09-27,red_sea,31.94,46.57,56.39,32.16
2023-09-28,red_sea,48.18,46.65,54.66,36.73
2023-09-29,red_sea,56.91,46.57,48.27,42.29
2023-09-30,red_sea,54.01,44.69,35.87,42.85
2023-10-01,red_sea,38.08,44.18,30.17,44.5
2023-10-02,red_sea,38.4,43.69,32.51,58.59
2023-10-03,red_sea,22.39,42.67,39.51,77.09
2023-10-04,red_sea,50.44,44.59,48.37,95.59
2023-10-05,red_sea,66.9,46.93,49.22,99.56
2023-10-06,red_sea,66.98,48.68,45.58,99.37
2023-10-07,red_sea,48.59,48.54,38.87,99.17
2023-10-08,red_sea,39.65,50.43,44.47,99.41
2023-10-09,red_sea,62.37,53.02,64.46,99.6
2023-10-10,red_sea,80.9,54.04,74.36,94.95
2023-10-11,red_sea,72.86,50.93,66.16,86.41
2023-10-12,red_sea,77.25,48.94,58.7,77.27
2023-10-13,red_sea,74.21,47.31,51.83,82.12
2023-10-14,red_sea,65.37,45.75,56.27,90.86
2023-10-15,red_sea,38.07,49.2,58.67,100.0
2023-10-16,red_sea,35.06,51.31,61.58,100.0
2023-10-17,red_sea,63.52,54.35,77.68,100.0
2023-10-18,red_sea,92.41,51.58,83.15,96.1
2023-10-19,red_sea,99.29,55.2,97.18,92.21
2023-10-20,red_sea,100.0,62.07,97.18,75.34
2023-10-21,red_sea,99.35,66.19,86.12,62.36
2023-10-22,red_sea,97.42,66.03,75.74,49.39
2023-10-23,red_sea,96.79,62.53,68.69,44.53
2023-10-24,red_sea,93.13,60.89,79.51,45.27
2023-10-25,red_sea,85.05,60.16,76.75,49.9
2023-10-26,red_sea,81.51,60.53,68.38,58.54
2023-10-27,red_sea,85.25,65.78,71.44,64.88
2023-10-28,red_sea,91.23,68.59,71.98,67.33
2023-10-29,red_sea,86.92,67.77,69.94,70.62
2023-10-30,red_sea,78.61,63.19,58.03,69.88
2023-10-31,red_sea,82.09,65.07,70.63,69.37
2023-11-01,red_sea,90.56,69.38,88.09,65.99
2023-11-02,red_sea,94.16,70.2,85.0,65.04
2023-11-03,red_sea,78.56,63.79,69.5,61.57
2023-11-04,red_sea,64.72,58.91,50.6,60.99
2023-11-05,red_sea,60.92,55.12,46.96,58.7
2023-11-06,red_sea,71.09,55.73,47.95,58.57
2023-11-07,red_sea,76.61,57.97,52.42,58.83
2023-11-08,red_sea,77.0,59.23,53.67,59.29
2023-11-09,red_sea,80.59,61.68,55.3,54.65
2023-11-10,red_sea,85.64,62.86,65.34,55.31
2023-11-11,red_sea,80.91,64.76,65.83,55.77
2023-11-12,red_sea,72.1,62.25,61.2,61.46
2023-11-13,red_sea,60.07,57.53,48.38,62.0
2023-11-14,red_sea,69.05,56.62,48.51,54.72
2023-11-15,red_sea,78.05,59.66,53.84,46.78
2023-11-16,red_sea,90.77,61.18,54.73,49.93
2023-11-17,red_sea,89.65,58.94,52.76,66.05
2023-11-18,red_sea,78.77,53.89,44.52,82.83
2023-11-19,red_sea,78.86,56.96,60.63,87.98
2023-11-20,red_sea,83.6,63.21,79.37,89.84
2023-11-21,red_sea,93.42,68.92,91.68,91.81
2023-11-22,red_sea,90.7,68.11,77.99,92.95
2023-11-23,red_sea,90.73,67.98,69.01,81.77
2023-11-24,red_sea,86.93,64.28,58.78,63.01
2023-11-25,red_sea,79.74,66.6,61.99,45.08
2023-11-26,red_sea,74.02,65.82,58.98,37.6
2023-11-27,red_sea,78.05,69.16,69.14,27.67
2023-11-28,red_sea,81.47,64.04,62.92,28.15
2023-11-29,red_sea,82.43,60.4,60.16,29.58
2023-11-30,red_sea,83.26,58.85,57.8,41.63
2023-12-01,red_sea,83.19,57.44,57.7,48.53
2023-12-02,red_sea,67.24,54.0,52.74,54.49
2023-12-03,red_sea,69.44,58.84,63.28,59.76
2023-12-04,red_sea,78.49,66.01,80.28,59.82
2023-12-05,red_sea,98.96,71.43,91.77,54.77
2023-12-06,red_sea,96.9,67.97,79.57,46.33
2023-12-07,red_sea,94.18,64.78,66.97,39.84
2023-12-08,red_sea,87.14,63.46,59.72,42.23
2023-12-09,red_sea,80.86,63.22,55.62,48.02
2023-12-10,red_sea,81.94,66.83,59.28,51.8
2023-12-11,red_sea,86.75,68.64,60.16,51.87
2023-12-12,red_sea,94.11,70.41,74.63,52.78
2023-12-13,red_sea,94.16,68.45,73.52,48.07
2023-12-14,red_sea,94.25,68.65,78.24,49.4
2023-12-15,red_sea,94.59,69.12,80.07,48.75
2023-12-16,red_sea,96.2,70.4,89.5,53.73
2023-12-17,red_sea,98.75,72.34,92.39,52.59
2023-12-18,red_sea,99.08,70.87,92.39,54.21
2023-12-19,red_sea,99.08,68.55,93.01,50.64
2023-12-20,red_sea,97.89,66.27,100.0,45.53
2023-12-21,red_sea,95.82,64.63,97.3,36.7
2023-12-22,red_sea,93.75,63.63,90.97,33.74
2023-12-23,red_sea,92.63,64.16,81.23,32.33
2023-12-24,red_sea,93.85,66.36,74.88,33.01
2023-12-25,red_sea,93.04,66.74,68.72,33.01
2023-12-26,red_sea,93.4,69.54,78.13,33.01
2023-12-27,red_sea,93.15,68.92,81.2,29.89
2023-12-28,red_sea,91.54,69.33,83.01,31.01
2023-12-29,red_sea,89.94,66.66,73.28,29.97
2023-12-30,red_sea,85.57,65.76,62.78,32.06
2023-12-31,red_sea,90.05,68.73,69.35,29.91
2024-01-01,red_sea,93.67,69.87,70.24,29.91
2024-01-02,red_sea,97.58,70.46,80.15,30.27
2024-01-03,red_sea,95.18,68.84,77.38,33.66
2024-01-04,red_sea,92.81,69.19,82.87,35.03
2024-01-05,red_sea,91.02,70.05,80.78,43.16
2024-01-06,red_sea,86.12,70.38,79.27,48.27
2024-01-07,red_sea,80.51,67.92,69.29,55.4
2024-01-08,red_sea,78.54,66.75,67.67,58.79
2024-01-09,red_sea,79.98,64.77,63.09,64.79
2024-01-10,red_sea,87.5,67.42,71.22,70.59
2024-01-11,red_sea,92.13,68.36,77.23,71.52
2024-01-12,red_sea,97.99,71.06,90.21,68.12
2024-01-13,red_sea,98.26,71.87,94.95,64.92
2024-01-14,red_sea,94.11,72.34,87.48,63.18
2024-01-15,red_sea,93.87,70.98,83.3,54.69
2024-01-16,red_sea,93.64,69.19,80.92,41.72
2024-01-17,red_sea,96.15,69.53,88.35,31.67
2024-01-18,red_sea,95.21,69.93,86.43,31.65
2024-01-19,red_sea,93.57,69.88,79.5,36.11
2024-01-20,red_sea,88.23,70.56,69.92,37.66
2024-01-21,red_sea,80.79,69.34,59.58,37.66
2024-01-22,red_sea,75.99,68.41,58.81,37.97
2024-01-23,red_sea,79.83,67.0,63.52,38.27
2024-01-24,red_sea,82.98,66.95,66.99,35.33
2024-01-25,red_sea,84.71,66.53,62.14,27.13
2024-01-26,red_sea,81.87,66.09,57.38,18.52
2024-01-27,red_sea,81.09,66.61,55.48,13.16
2024-01-28,red_sea,78.31,68.68,54.5,12.76
2024-01-29,red_sea,77.12,70.11,55.51,12.04
2024-01-30,red_sea,75.71,70.34,56.07,11.56
2024-01-31,red_sea,81.54,68.45,60.22,15.06
2024-02-01,red_sea,85.38,67.07,60.68,20.24
2024-02-02,red_sea,85.53,66.49,59.25,28.68
2024-02-03,red_sea,80.67,68.57,56.76,33.16
2024-02-04,red_sea,80.54,69.84,57.44,36.66
2024-02-05,red_sea,78.36,69.93,60.66,34.78
2024-02-06,red_sea,79.97,68.7,60.83,32.91
2024-02-07,red_sea,76.09,67.05,55.53,36.67
2024-02-08,red_sea,74.2,65.63,50.84,44.81
2024-02-09,red_sea,66.29,63.59,47.31,52.52
2024-02-10,red_sea,58.26,61.89,43.88,54.59
2024-02-11,red_sea,54.2,62.22,40.28,54.15
2024-02-12,red_sea,57.08,62.86,40.38,45.42
2024-02-13,red_sea,58.78,63.15,41.04,34.62
2024-02-14,red_sea,59.86,62.7,41.67,24.15
2024-02-15,red_sea,58.87,62.33,41.13,19.21
2024-02-16,red_sea,60.9,62.27,40.59,16.3
2024-02-17,red_sea,62.92,62.09,40.19,13.05
2024-02-18,red_sea,60.6,62.68,37.56,13.01
2024-02-19,red_sea,66.44,63.75,41.53,13.29
2024-02-20,red_sea,70.51,64.08,44.48,14.35
2024-02-21,red_sea,75.16,63.8,47.51,15.16
2024-02-22,red_sea,74.13,63.74,46.14,16.99
2024-02-23,red_sea,72.76,64.06,44.3,21.63
2024-02-24,red_sea,71.23,65.8,41.81,26.52
2024-02-25,red_sea,69.86,66.57,40.24,30.11
2024-02-26,red_sea,69.84,66.4,39.91,29.9
2024-02-27,red_sea,67.44,63.78,41.78,29.38
2024-02-28,red_sea,72.01,62.26,42.48,29.09
2024-02-29,red_sea,68.87,61.35,41.44,27.5
2024-03-01,red_sea,65.82,61.58,38.79,21.01
2024-03-02,red_sea,55.57,63.7,37.16,14.3
2024-03-03,red_sea,55.24,66.92,37.22,9.11
2024-03-04,red_sea,57.47,68.18,38.66,13.39
2024-03-05,red_sea,60.92,67.77,39.47,19.19
2024-03-06,red_sea,66.45,67.85,42.69,25.07
2024-03-07,red_sea,75.68,69.54,44.45,30.87
2024-03-08,red_sea,72.52,66.55,42.91,35.41
2024-03-09,red_sea,72.47,65.74,39.29,39.86
2024-03-10,red_sea,64.22,62.92,34.73,40.1
2024-03-11,red_sea,61.33,63.3,33.94,35.41
2024-03-12,red_sea,59.39,62.75,34.57,31.41
2024-03-13,red_sea,59.26,62.27,35.82,26.1
2024-03-14,red_sea,64.63,63.43,37.74,29.37
2024-03-15,red_sea,58.68,63.62,38.76,32.26
2024-03-16,red_sea,57.04,65.58,38.41,36.46
2024-03-17,red_sea,55.04,67.0,36.75,36.77
2024-03-18,red_sea,52.61,63.77,34.13,35.51
2024-03-19,red_sea,49.36,61.64,34.83,34.07
2024-03-20,red_sea,45.27,59.72,35.58,36.74
2024-03-21,red_sea,44.23,59.57,37.43,37.09
2024-03-22,red_sea,43.03,59.59,37.4,37.26
2024-03-23,red_sea,43.78,60.52,36.23,33.32
2024-03-24,red_sea,49.24,62.03,34.16,32.96
2024-03-25,red_sea,51.46,61.7,33.56,33.6
2024-03-26,red_sea,50.26,60.15,34.5,33.07
2024-03-27,red_sea,45.68,60.49,36.56,31.02
2024-03-28,red_sea,45.29,60.46,37.56,29.13
2024-03-29,red_sea,43.66,60.17,36.88,28.41
2024-03-30,red_sea,38.73,59.05,34.59,29.21
2024-03-31,red_sea,34.44,58.77,33.03,29.21
2024-04-01,red_sea,37.06,60.57,33.87,29.21
2024-04-02,red_sea,40.8,61.85,37.02,30.24
2024-04-03,red_sea,43.88,63.0,39.51,35.79
2024-04-04,red_sea,41.51,62.7,40.01,45.09
2024-04-05,red_sea,41.17,62.87,38.24,49.49
2024-04-06,red_sea,37.32,65.5,36.93,49.37
2024-04-07,red_sea,39.87,67.69,36.08,45.51
2024-04-08,red_sea,42.7,67.86,36.49,51.28
2024-04-09,red_sea,43.76,65.19,37.28,57.2
2024-04-10,red_sea,44.14,62.44,37.94,58.41
2024-04-11,red_sea,39.76,61.05,37.14,53.68
2024-04-12,red_sea,41.38,61.92,35.98,44.65
2024-04-13,red_sea,42.2,64.15,35.88,40.32
2024-04-14,red_sea,47.77,69.02,39.24,36.17
2024-04-15,red_sea,51.1,71.35,42.86,40.67
2024-04-16,red_sea,50.44,70.77,44.34,45.18
2024-04-17,red_sea,47.32,67.63,43.83,50.08
2024-04-18,red_sea,43.21,64.7,40.92,50.9
2024-04-19,red_sea,38.54,65.79,41.53,51.45
2024-04-20,red_sea,33.71,67.98,39.17,51.59
2024-04-21,red_sea,30.27,67.2,36.74,51.32
2024-04-22,red_sea,29.55,63.41,32.13,42.5
2024-04-23,red_sea,30.35,59.56,30.15,36.48
2024-04-24,red_sea,33.61,59.24,32.51,30.67
2024-04-25,red_sea,42.86,60.95,36.81,32.79
2024-04-26,red_sea,48.58,61.78,37.81,35.84
2024-04-27,red_sea,59.26,65.85,38.4,38.68
2024-04-28,red_sea,51.13,64.71,33.85,42.42
2024-04-29,red_sea,54.51,66.27,35.94,45.13
2024-04-30,red_sea,52.58,63.67,36.65,47.09
2024-05-01,red_sea,52.29,63.8,38.27,61.74
2024-05-02,red_sea,46.61,62.26,36.43,76.61
2024-05-03,red_sea,40.94,62.48,34.5,87.35
2024-05-04,red_sea,39.31,61.95,32.51,85.4
2024-05-05,red_sea,34.1,61.78,30.9,80.52
2024-05-06,red_sea,29.77,60.43,29.61,80.52
2024-05-07,red_sea,35.25,59.22,31.92,80.51
2024-05-08,red_sea,35.34,57.21,32.02,80.43
2024-05-09,red_sea,35.74,57.83,32.47,67.33
2024-05-10,red_sea,28.97,58.47,29.35,50.92
2024-05-11,red_sea,28.34,58.96,27.38,34.59
2024-05-12,red_sea,25.59,57.42,24.83,31.28
2024-05-13,red_sea,25.62,56.26,26.61,29.02
2024-05-14,red_sea,29.03,56.09,31.14,33.0
2024-05-15,red_sea,36.16,56.94,34.63,37.5
2024-05-16,red_sea,41.08,56.9,36.65,48.02
2024-05-17,red_sea,41.07,57.69,34.45,52.96
2024-05-18,red_sea,41.15,59.15,34.79,57.37
2024-05-19,red_sea,38.32,59.85,32.24,58.03
2024-05-20,red_sea,38.88,60.21,33.28,58.04
2024-05-21,red_sea,35.67,58.41,31.55,53.3
2024-05-22,red_sea,34.79,58.96,32.54,50.26
2024-05-23,red_sea,34.72,60.9,33.74,40.56
2024-05-24,red_sea,38.57,62.06,35.78,31.55
2024-05-25,red_sea,39.7,61.64,33.42,20.84
2024-05-26,red_sea,35.85,58.83,29.27,16.77
2024-05-27,red_sea,30.48,58.0,27.47,16.77
2024-05-28,red_sea,38.72,58.74,33.61,31.87
2024-05-29,red_sea,52.24,61.12,43.62,46.48
2024-05-30,red_sea,53.58,63.14,47.53,58.26
2024-05-31,red_sea,59.57,67.32,58.97,59.88
2024-06-01,red_sea,54.37,67.71,54.4,61.98
2024-06-02,red_sea,56.16,67.35,52.8,66.9
2024-06-03,red_sea,44.33,64.16,42.05,74.17
2024-06-04,red_sea,38.88,60.99,41.35,70.31
2024-06-05,red_sea,37.06,58.11,39.8,66.2
2024-06-06,red_sea,37.27,58.44,39.68,65.58
2024-06-07,red_sea,40.35,62.35,43.74,75.04
2024-06-08,red_sea,41.99,63.34,47.11,84.77
2024-06-09,red_sea,43.14,65.37,44.51,83.73
2024-06-10,red_sea,39.47,63.74,37.47,74.78
2024-06-11,red_sea,33.36,64.15,35.22,59.7
2024-06-12,red_sea,31.22,61.89,38.82,43.7
2024-06-13,red_sea,40.63,64.16,49.77,31.15
2024-06-14,red_sea,57.57,67.29,61.24,26.17
2024-06-15,red_sea,69.08,71.36,64.73,22.1
2024-06-16,red_sea,71.98,71.98,57.53,23.54
2024-06-17,red_sea,71.04,70.75,49.4,21.0
2024-06-18,red_sea,63.14,67.37,43.41,25.1
2024-06-19,red_sea,59.61,66.77,54.91,28.53
2024-06-20,red_sea,55.17,66.85,57.52,35.44
2024-06-21,red_sea,50.42,66.92,56.18,34.55
2024-06-22,red_sea,48.88,65.73,44.41,34.34
2024-06-23,red_sea,53.51,66.68,44.99,33.2
2024-06-24,red_sea,60.71,66.99,48.32,33.91
2024-06-25,red_sea,57.86,64.67,45.51,26.77
2024-06-26,red_sea,40.73,61.25,39.92,23.77
2024-06-27,red_sea,41.54,59.63,39.91,22.84
2024-06-28,red_sea,44.7,61.24,40.93,29.6
2024-06-29,red_sea,55.2,63.98,38.09,32.21
2024-06-30,red_sea,46.34,63.3,30.15,32.03
2024-07-01,red_sea,38.07,61.14,28.87,32.98
2024-07-02,red_sea,32.02,58.3,30.52,37.79
2024-07-03,red_sea,35.28,58.41,38.15,39.74
2024-07-04,red_sea,31.18,55.96,37.79,39.58
2024-07-05,red_sea,24.0,55.09,35.88,35.54
2024-07-06,red_sea,15.75,51.91,32.64,34.38
2024-07-07,red_sea,16.87,53.75,32.49,34.39
2024-07-08,red_sea,21.8,54.52,35.06,37.65
2024-07-09,red_sea,26.11,57.29,35.11,35.61
2024-07-10,red_sea,29.34,58.94,37.86,33.72
2024-07-11,red_sea,31.37,59.66,42.63,28.34
2024-07-12,red_sea,35.44,60.12,42.49,30.26
2024-07-13,red_sea,36.18,58.16,38.04,32.02
2024-07-14,red_sea,33.67,55.59,28.86,34.03
2024-07-15,red_sea,36.25,56.21,31.44,31.74
2024-07-16,red_sea,45.0,59.56,42.62,28.69
2024-07-17,red_sea,51.15,62.69,48.48,27.01
2024-07-18,red_sea,48.41,62.24,46.35,28.39
2024-07-19,red_sea,42.19,63.75,47.7,29.45
2024-07-20,red_sea,44.52,64.63,54.08,29.14
2024-07-21,red_sea,52.19,69.41,70.93,28.06
2024-07-22,red_sea,59.07,67.56,65.59,30.87
2024-07-23,red_sea,56.16,66.64,59.46,32.64
2024-07-24,red_sea,47.83,61.1,44.8,38.4
2024-07-25,red_sea,37.11,59.74,41.93,39.42
2024-07-26,red_sea,30.82,58.59,36.84,41.76
2024-07-27,red_sea,29.18,58.82,33.33,40.11
2024-07-28,red_sea,21.72,57.6,26.9,40.39
2024-07-29,red_sea,21.45,57.91,26.83,38.33
2024-07-30,red_sea,17.75,56.85,25.41,37.97
2024-07-31,red_sea,25.79,60.14,34.65,45.23
2024-08-01,red_sea,29.54,60.68,41.08,54.58
2024-08-02,red_sea,32.34,64.69,47.32,68.42
2024-08-03,red_sea,35.21,64.52,45.45,74.65
2024-08-04,red_sea,38.2,67.39,42.29,80.84
2024-08-05,red_sea,36.54,66.36,41.07,80.84
2024-08-06,red_sea,37.06,65.08,44.3,79.89
2024-08-07,red_sea,34.69,62.26,48.24,76.76
2024-08-08,red_sea,36.26,62.47,50.22,81.12
2024-08-09,red_sea,40.7,64.03,49.77,76.89
2024-08-10,red_sea,37.6,63.5,41.98,74.84
2024-08-11,red_sea,32.69,61.79,35.66,65.29
2024-08-12,red_sea,24.95,58.7,29.98,63.35
2024-08-13,red_sea,32.82,61.43,40.22,59.48
2024-08-14,red_sea,36.97,63.25,47.53,57.32
2024-08-15,red_sea,31.51,62.91,48.49,51.79
2024-08-16,red_sea,21.63,60.49,41.02,52.78
2024-08-17,red_sea,16.52,57.22,30.82,52.07
2024-08-18,red_sea,18.56,57.54,28.22,56.67
2024-08-19,red_sea,19.3,56.1,30.2,49.77
