date,corridor,event_intensity,tone_severity,news_volume_spike,price_volatility,disruption_label,disruption_label_source
2026-03-07,hormuz,53.62,64.82,72.45,100.0,1,"2026 Strait of Hormuz crisis, ongoing at collection time. Source: cited crisis timeline and independent reporting."
2026-03-08,hormuz,73.99,63.55,78.14,100.0,1,"2026 Strait of Hormuz crisis, ongoing at collection time. Source: cited crisis timeline and independent reporting."
2026-03-09,hormuz,72.95,63.99,77.64,100.0,1,"2026 Strait of Hormuz crisis, ongoing at collection time. Source: cited crisis timeline and independent reporting."
2026-03-10,hormuz,57.77,68.04,59.67,100.0,1,"2026 Strait of Hormuz crisis, ongoing at collection time. Source: cited crisis timeline and independent reporting."
2026-03-11,hormuz,36.94,72.1,48.53,98.22,1,"2026 Strait of Hormuz crisis, ongoing at collection time. Source: cited crisis timeline and independent reporting."
2026-03-12,hormuz,37.49,73.1,55.08,98.22,1,"2026 Strait of Hormuz crisis, ongoing at collection time. Source: cited crisis timeline and independent reporting."
2026-03-13,hormuz,37.99,74.65,54.01,95.65,1,"2026 Strait of Hormuz crisis, ongoing at collection time. Source: cited crisis timeline and independent reporting."
2026-03-14,hormuz,38.45,69.69,51.32,94.86,1,"2026 Strait of Hormuz crisis, ongoing at collection time. Source: cited crisis timeline and independent reporting."
2026-03-15,hormuz,38.88,69.82,43.08,92.28,1,"2026 Strait of Hormuz crisis, ongoing at collection time. Source: cited crisis timeline and independent reporting."
2026-03-16,hormuz,57.09,68.46,44.96,92.69,1,"2026 Strait of Hormuz crisis, ongoing at collection time. Source: cited crisis timeline and independent reporting."
2026-03-17,hormuz,56.91,71.7,47.62,89.68,1,"2026 Strait of Hormuz crisis, ongoing at collection time. Source: cited crisis timeline and independent reporting."
2026-03-18,hormuz,75.53,68.67,47.63,87.25,1,"2026 Strait of Hormuz crisis, ongoing at collection time. Source: cited crisis timeline and independent reporting."
2026-03-19,hormuz,57.0,71.1,47.69,85.69,1,"2026 Strait of Hormuz crisis, ongoing at collection time. Source: cited crisis timeline and independent reporting."
2026-03-20,hormuz,56.85,74.8,55.88,89.0,1,"2026 Strait of Hormuz crisis, ongoing at collection time. Source: cited crisis timeline and independent reporting."
2026-03-21,hormuz,37.87,79.12,54.77,91.72,1,"2026 Strait of Hormuz crisis, ongoing at collection time. Source: cited crisis timeline and independent reporting."
2026-03-22,hormuz,38.23,72.09,51.84,93.16,1,"2026 Strait of Hormuz crisis, ongoing at collection time. Source: cited crisis timeline and independent reporting."
2026-03-23,hormuz,38.57,74.07,60.8,95.44,1,"2026 Strait of Hormuz crisis, ongoing at collection time. Source: cited crisis timeline and independent reporting."
2026-03-24,hormuz,38.88,64.3,63.54,96.33,1,"2026 Strait of Hormuz crisis, ongoing at collection time. Source: cited crisis timeline and independent reporting."
2026-03-25,hormuz,39.18,70.26,79.67,92.68,1,"2026 Strait of Hormuz crisis, ongoing at collection time. Source: cited crisis timeline and independent reporting."
2026-03-26,hormuz,39.47,64.29,61.08,85.95,1,"2026 Strait of Hormuz crisis, ongoing at collection time. Source: cited crisis timeline and independent reporting."
2026-03-27,hormuz,39.74,70.76,77.5,80.95,1,"2026 Strait of Hormuz crisis, ongoing at collection time. Source: cited crisis timeline and independent reporting."
2026-03-28,hormuz,40.0,62.39,64.6,80.5,1,"2026 Strait of Hormuz crisis, ongoing at collection time. Source: cited crisis timeline and independent reporting."
2026-03-29,hormuz,40.24,59.69,64.53,80.85,1,"2026 Strait of Hormuz crisis, ongoing at collection time. Source: cited crisis timeline and independent reporting."
2026-03-30,hormuz,40.47,56.0,47.54,63.83,1,"2026 Strait of Hormuz crisis, ongoing at collection time. Source: cited crisis timeline and independent reporting."
2026-03-31,hormuz,40.69,66.84,46.16,46.66,1,"2026 Strait of Hormuz crisis, ongoing at collection time. Source: cited crisis timeline and independent reporting."
2026-04-01,hormuz,40.91,66.77,46.42,36.77,1,"2026 Strait of Hormuz crisis, ongoing at collection time. Source: cited crisis timeline and independent reporting."
2026-04-02,hormuz,41.11,68.22,50.14,45.42,1,"2026 Strait of Hormuz crisis, ongoing at collection time. Source: cited crisis timeline and independent reporting."
2026-04-03,hormuz,41.3,63.01,50.83,54.21,1,"2026 Strait of Hormuz crisis, ongoing at collection time. Source: cited crisis timeline and independent reporting."
2026-04-04,hormuz,41.49,69.37,50.76,55.73,1,"2026 Strait of Hormuz crisis, ongoing at collection time. Source: cited crisis timeline and independent reporting."
2026-04-05,hormuz,41.66,68.37,45.33,55.73,1,"2026 Strait of Hormuz crisis, ongoing at collection time. Source: cited crisis timeline and independent reporting."
2026-04-06,hormuz,55.17,69.15,44.39,55.73,1,"2026 Strait of Hormuz crisis, ongoing at collection time. Source: cited crisis timeline and independent reporting."
2026-04-08,hormuz,55.0,71.85,44.2,67.37,1,"2026 Strait of Hormuz crisis, ongoing at collection time. Source: cited crisis timeline and independent reporting."
2026-04-09,hormuz,54.84,71.66,44.78,78.33,1,"2026 Strait of Hormuz crisis, ongoing at collection time. Source: cited crisis timeline and independent reporting."
2026-04-10,hormuz,41.34,71.3,45.61,87.83,1,"2026 Strait of Hormuz crisis, ongoing at collection time. Source: cited crisis timeline and independent reporting."
2026-04-11,hormuz,59.1,63.7,53.47,85.7,1,"2026 Strait of Hormuz crisis, ongoing at collection time. Source: cited crisis timeline and independent reporting."
2026-04-13,hormuz,58.95,67.95,53.64,82.33,1,"2026 Strait of Hormuz crisis, ongoing at collection time. Source: cited crisis timeline and independent reporting."
2026-04-14,hormuz,58.81,69.38,53.03,74.04,1,"2026 Strait of Hormuz crisis, ongoing at collection time. Source: cited crisis timeline and independent reporting."
2026-04-15,hormuz,41.07,71.3,45.38,56.48,1,"2026 Strait of Hormuz crisis, ongoing at collection time. Source: cited crisis timeline and independent reporting."
2026-04-17,hormuz,41.23,71.53,44.62,56.15,1,"2026 Strait of Hormuz crisis, ongoing at collection time. Source: cited crisis timeline and independent reporting."
2026-04-18,hormuz,41.38,71.39,44.13,62.18,1,"2026 Strait of Hormuz crisis, ongoing at collection time. Source: cited crisis timeline and independent reporting."
2026-04-19,hormuz,41.52,73.49,45.29,77.5,1,"2026 Strait of Hormuz crisis, ongoing at collection time. Source: cited crisis timeline and independent reporting."
2026-04-20,hormuz,41.67,69.42,45.59,78.63,1,"2026 Strait of Hormuz crisis, ongoing at collection time. Source: cited crisis timeline and independent reporting."
2026-04-21,hormuz,41.8,68.14,46.45,81.21,1,"2026 Strait of Hormuz crisis, ongoing at collection time. Source: cited crisis timeline and independent reporting."
2026-04-22,hormuz,41.93,64.37,46.5,86.66,1,"2026 Strait of Hormuz crisis, ongoing at collection time. Source: cited crisis timeline and independent reporting."
2026-04-23,hormuz,42.06,69.58,47.08,90.86,1,"2026 Strait of Hormuz crisis, ongoing at collection time. Source: cited crisis timeline and independent reporting."
2026-04-25,hormuz,42.19,70.68,61.06,93.61,1,"2026 Strait of Hormuz crisis, ongoing at collection time. Source: cited crisis timeline and independent reporting."
2026-04-26,hormuz,42.31,73.07,59.53,93.49,1,"2026 Strait of Hormuz crisis, ongoing at collection time. Source: cited crisis timeline and independent reporting."
2026-04-27,hormuz,42.42,67.48,58.57,73.33,1,"2026 Strait of Hormuz crisis, ongoing at collection time. Source: cited crisis timeline and independent reporting."
2026-04-28,hormuz,42.54,62.7,44.78,53.33,1,"2026 Strait of Hormuz crisis, ongoing at collection time. Source: cited crisis timeline and independent reporting."
2026-04-29,hormuz,42.65,58.92,44.81,31.67,1,"2026 Strait of Hormuz crisis, ongoing at collection time. Source: cited crisis timeline and independent reporting."
2026-04-30,hormuz,42.75,61.89,44.85,30.02,1,"2026 Strait of Hormuz crisis, ongoing at collection time. Source: cited crisis timeline and independent reporting."
2026-05-02,hormuz,42.86,60.57,44.9,28.21,1,"2026 Strait of Hormuz crisis, ongoing at collection time. Source: cited crisis timeline and independent reporting."
2026-05-03,hormuz,42.96,50.35,44.93,28.07,1,"2026 Strait of Hormuz crisis, ongoing at collection time. Source: cited crisis timeline and independent reporting."
2026-05-04,hormuz,43.05,50.11,45.25,28.07,1,"2026 Strait of Hormuz crisis, ongoing at collection time. Source: cited crisis timeline and independent reporting."
2026-05-05,hormuz,61.62,52.16,45.01,33.87,1,"2026 Strait of Hormuz crisis, ongoing at collection time. Source: cited crisis timeline and independent reporting."
2026-05-07,hormuz,61.49,64.02,45.91,37.18,1,"2026 Strait of Hormuz crisis, ongoing at collection time. Source: cited crisis timeline and independent reporting."
2026-05-08,hormuz,61.36,64.73,45.64,42.11,1,"2026 Strait of Hormuz crisis, ongoing at collection time. Source: cited crisis timeline and independent reporting."
2026-05-09,hormuz,42.76,63.86,45.09,41.23,1,"2026 Strait of Hormuz crisis, ongoing at collection time. Source: cited crisis timeline and independent reporting."
2026-05-10,hormuz,42.86,65.5,44.24,42.84,1,"2026 Strait of Hormuz crisis, ongoing at collection time. Source: cited crisis timeline and independent reporting."
2026-05-11,hormuz,42.95,65.5,45.17,45.26,1,"2026 Strait of Hormuz crisis, ongoing at collection time. Source: cited crisis timeline and independent reporting."
2026-05-12,hormuz,43.04,71.33,46.41,50.6,1,"2026 Strait of Hormuz crisis, ongoing at collection time. Source: cited crisis timeline and independent reporting."
2026-05-13,hormuz,43.12,68.82,46.42,45.91,1,"2026 Strait of Hormuz crisis, ongoing at collection time. Source: cited crisis timeline and independent reporting."
2026-05-14,hormuz,43.21,62.14,45.53,37.02,1,"2026 Strait of Hormuz crisis, ongoing at collection time. Source: cited crisis timeline and independent reporting."
2026-05-15,hormuz,43.29,67.22,44.35,25.33,1,"2026 Strait of Hormuz crisis, ongoing at collection time. Source: cited crisis timeline and independent reporting."
2026-05-17,hormuz,43.37,68.39,44.7,23.69,1,"2026 Strait of Hormuz crisis, ongoing at collection time. Source: cited crisis timeline and independent reporting."
2026-05-18,hormuz,43.45,77.59,45.04,23.81,1,"2026 Strait of Hormuz crisis, ongoing at collection time. Source: cited crisis timeline and independent reporting."
2026-05-19,hormuz,43.53,71.26,45.38,22.92,1,"2026 Strait of Hormuz crisis, ongoing at collection time. Source: cited crisis timeline and independent reporting."
2026-05-21,hormuz,43.6,72.59,45.09,26.82,1,"2026 Strait of Hormuz crisis, ongoing at collection time. Source: cited crisis timeline and independent reporting."
2026-05-22,hormuz,43.68,68.21,45.44,29.33,1,"2026 Strait of Hormuz crisis, ongoing at collection time. Source: cited crisis timeline and independent reporting."
2026-05-23,hormuz,43.75,64.51,44.84,32.7,1,"2026 Strait of Hormuz crisis, ongoing at collection time. Source: cited crisis timeline and independent reporting."
2026-05-24,hormuz,43.82,59.68,45.18,31.29,1,"2026 Strait of Hormuz crisis, ongoing at collection time. Source: cited crisis timeline and independent reporting."
2026-05-25,hormuz,43.89,59.41,44.88,31.29,1,"2026 Strait of Hormuz crisis, ongoing at collection time. Source: cited crisis timeline and independent reporting."
2026-05-27,hormuz,43.96,61.73,44.89,29.91,1,"2026 Strait of Hormuz crisis, ongoing at collection time. Source: cited crisis timeline and independent reporting."
2026-06-01,hormuz,44.02,65.44,46.79,34.85,1,"2026 Strait of Hormuz crisis, ongoing at collection time. Source: cited crisis timeline and independent reporting."
2026-06-02,hormuz,44.09,65.19,46.77,39.23,1,"2026 Strait of Hormuz crisis, ongoing at collection time. Source: cited crisis timeline and independent reporting."
2026-06-15,hormuz,44.15,62.58,47.39,39.38,1,"2026 Strait of Hormuz crisis, ongoing at collection time. Source: cited crisis timeline and independent reporting."
2026-06-16,hormuz,44.21,59.78,45.76,33.63,1,"2026 Strait of Hormuz crisis, ongoing at collection time. Source: cited crisis timeline and independent reporting."
2026-06-18,hormuz,44.27,55.58,45.42,26.48,1,"2026 Strait of Hormuz crisis, ongoing at collection time. Source: cited crisis timeline and independent reporting."
2026-06-19,hormuz,44.33,58.26,44.78,26.87,1,"2026 Strait of Hormuz crisis, ongoing at collection time. Source: cited crisis timeline and independent reporting."
2026-06-24,hormuz,44.39,58.31,44.47,26.74,1,"2026 Strait of Hormuz crisis, ongoing at collection time. Source: cited crisis timeline and independent reporting."
2026-06-26,hormuz,59.94,65.22,44.8,30.38,1,"2026 Strait of Hormuz crisis, ongoing at collection time. Source: cited crisis timeline and independent reporting."
2026-06-29,hormuz,59.83,63.85,44.8,33.02,1,"2026 Strait of Hormuz crisis, ongoing at collection time. Source: cited crisis timeline and independent reporting."
2026-06-30,hormuz,59.73,64.35,44.47,35.77,1,"2026 Strait of Hormuz crisis, ongoing at collection time. Source: cited crisis timeline and independent reporting."
2026-07-01,hormuz,44.12,58.97,44.15,34.93,1,"2026 Strait of Hormuz crisis, ongoing at collection time. Source: cited crisis timeline and independent reporting."
2026-07-05,hormuz,44.17,58.31,44.16,33.14,1,"2026 Strait of Hormuz crisis, ongoing at collection time. Source: cited crisis timeline and independent reporting."
2026-07-07,hormuz,44.23,58.64,45.47,27.74,1,"2026 Strait of Hormuz crisis, ongoing at collection time. Source: cited crisis timeline and independent reporting."
2026-07-08,hormuz,44.29,62.26,47.12,27.69,1,"2026 Strait of Hormuz crisis, ongoing at collection time. Source: cited crisis timeline and independent reporting."
2026-07-09,hormuz,44.34,64.96,47.78,29.32,1,"2026 Strait of Hormuz crisis, ongoing at collection time. Source: cited crisis timeline and independent reporting."
2026-07-10,hormuz,44.39,68.82,46.51,34.73,1,"2026 Strait of Hormuz crisis, ongoing at collection time. Source: cited crisis timeline and independent reporting."
2026-07-11,hormuz,44.44,67.96,44.92,36.56,1,"2026 Strait of Hormuz crisis, ongoing at collection time. Source: cited crisis timeline and independent reporting."
2026-07-13,hormuz,44.5,62.84,44.38,42.06,1,"2026 Strait of Hormuz crisis, ongoing at collection time. Source: cited crisis timeline and independent reporting."
2026-07-15,hormuz,62.71,62.32,45.17,46.89,1,"2026 Strait of Hormuz crisis, ongoing at collection time. Source: cited crisis timeline and independent reporting."
2026-07-16,hormuz,62.61,57.65,49.82,51.37,1,"2026 Strait of Hormuz crisis, ongoing at collection time. Source: cited crisis timeline and independent reporting."
2026-07-17,hormuz,62.51,61.22,50.17,50.44,1,"2026 Strait of Hormuz crisis, ongoing at collection time. Source: cited crisis timeline and independent reporting."
2026-07-18,hormuz,59.74,61.43,49.82,50.03,1,"2026 Strait of Hormuz crisis, ongoing at collection time. Source: cited crisis timeline and independent reporting."
2026-07-20,hormuz,59.65,63.47,45.33,42.98,1,"2026 Strait of Hormuz crisis, ongoing at collection time. Source: cited crisis timeline and independent reporting."
2026-07-21,hormuz,77.37,67.66,45.38,40.61,1,"2026 Strait of Hormuz crisis, ongoing at collection time. Source: cited crisis timeline and independent reporting."
2026-07-22,hormuz,80.44,65.03,45.74,37.65,1,"2026 Strait of Hormuz crisis, ongoing at collection time. Source: cited crisis timeline and independent reporting."
2026-07-24,hormuz,95.47,69.91,46.38,50.83,1,"2026 Strait of Hormuz crisis, ongoing at collection time. Source: cited crisis timeline and independent reporting."
2026-07-26,hormuz,77.28,61.52,46.06,59.38,1,"2026 Strait of Hormuz crisis, ongoing at collection time. Source: cited crisis timeline and independent reporting."
2026-07-27,hormuz,58.25,65.19,45.43,75.5,1,"2026 Strait of Hormuz crisis, ongoing at collection time. Source: cited crisis timeline and independent reporting."
2026-07-28,hormuz,42.92,61.57,44.81,81.52,1,"2026 Strait of Hormuz crisis, ongoing at collection time. Source: cited crisis timeline and independent reporting."
2026-07-29,hormuz,42.97,66.46,44.84,91.0,1,"2026 Strait of Hormuz crisis, ongoing at collection time. Source: cited crisis timeline and independent reporting."
2026-08-02,hormuz,43.03,63.41,44.91,93.52,1,"2026 Strait of Hormuz crisis, ongoing at collection time. Source: cited crisis timeline and independent reporting."
2026-08-03,hormuz,60.16,66.75,44.96,90.37,1,"2026 Strait of Hormuz crisis, ongoing at collection time. Source: cited crisis timeline and independent reporting."
2026-08-05,hormuz,60.08,65.45,45.33,76.19,1,"2026 Strait of Hormuz crisis, ongoing at collection time. Source: cited crisis timeline and independent reporting."
2026-08-08,hormuz,60.0,63.54,45.44,62.0,1,"2026 Strait of Hormuz crisis, ongoing at collection time. Source: cited crisis timeline and independent reporting."
2026-08-11,hormuz,59.26,61.38,45.57,47.65,1,"2026 Strait of Hormuz crisis, ongoing at collection time. Source: cited crisis timeline and independent reporting."
2026-08-16,hormuz,59.19,57.57,45.12,40.86,1,"2026 Strait of Hormuz crisis, ongoing at collection time. Source: cited crisis timeline and independent reporting."
2026-08-17,hormuz,59.11,54.52,44.91,24.85,1,"2026 Strait of Hormuz crisis, ongoing at collection time. Source: cited crisis timeline and independent reporting."
2026-08-18,hormuz,42.64,50.0,43.53,19.13,1,"2026 Strait of Hormuz crisis, ongoing at collection time. Source: cited crisis timeline and independent reporting."
2026-08-19,hormuz,42.69,50.0,42.48,13.41,1,"2026 Strait of Hormuz crisis, ongoing at collection time. Source: cited crisis timeline and independent reporting."
2026-08-20,hormuz,56.76,66.67,42.58,16.91,1,"2026 Strait of Hormuz crisis, ongoing at collection time. Source: cited crisis timeline and independent reporting."
2026-08-21,hormuz,56.69,66.67,42.71,16.91,1,"2026 Strait of Hormuz crisis, ongoing at collection time. Source: cited crisis timeline and independent reporting."
2026-08-22,hormuz,56.62,66.67,42.81,16.91,1,"2026 Strait of Hormuz crisis, ongoing at collection time. Source: cited crisis timeline and independent reporting."
2026-08-23,hormuz,42.54,50.0,41.76,16.91,1,"2026 Strait of Hormuz crisis, ongoing at collection time. Source: cited crisis timeline and independent reporting."
2026-08-16,iran_supply,50.0,50.0,50.0,6.42,0,
2026-08-17,iran_supply,50.0,50.0,50.0,6.42,0,
2026-08-18,iran_supply,50.0,50.0,50.0,9.92,0,
2026-08-19,iran_supply,50.0,50.0,50.0,13.41,0,
2026-08-20,iran_supply,50.0,50.0,50.0,16.91,0,
2026-08-21,iran_supply,50.0,50.0,50.0,16.91,0,
2026-08-22,iran_supply,50.0,50.0,50.0,16.91,0,
2026-08-23,iran_supply,50.0,50.0,50.0,16.91,0,
2023-09-01,red_sea,50.0,50.75,50.0,24.71,0,
2023-09-02,red_sea,50.0,50.18,50.0,24.71,0,
2023-09-03,red_sea,50.0,49.14,50.0,24.71,0,
2023-09-04,red_sea,50.0,49.1,50.0,25.13,0,
2023-09-05,red_sea,50.0,50.52,50.0,25.58,0,
2023-09-06,red_sea,50.0,50.6,50.0,25.67,0,
2023-09-07,red_sea,50.0,48.98,50.0,27.59,0,
2023-09-08,red_sea,50.0,43.89,50.0,23.79,0,
2023-09-09,red_sea,50.0,40.69,50.0,20.37,0,
2023-09-10,red_sea,60.0,39.22,56.88,14.7,0,
2023-09-11,red_sea,70.61,40.38,64.09,14.77,0,
2023-09-12,red_sea,80.33,43.48,61.22,16.74,0,
2023-09-13,red_sea,61.35,47.18,69.32,19.62,0,
2023-09-14,red_sea,67.41,49.98,66.65,25.97,0,
2023-09-15,red_sea,62.14,52.2,66.55,31.59,0,
2023-09-16,red_sea,81.53,53.91,45.89,36.31,0,
2023-09-17,red_sea,73.68,57.08,37.65,37.48,0,
2023-09-18,red_sea,84.06,55.16,40.27,37.13,0,
2023-09-19,red_sea,90.31,52.05,45.71,35.82,0,
2023-09-20,red_sea,93.15,47.37,47.1,37.85,0,
2023-09-21,red_sea,87.06,44.98,47.22,35.14,0,
2023-09-22,red_sea,61.31,43.54,46.91,33.27,0,
2023-09-23,red_sea,35.87,41.35,43.72,28.06,0,
2023-09-24,red_sea,13.95,43.77,42.29,27.95,0,
2023-09-25,red_sea,10.37,43.59,44.81,27.24,0,
2023-09-26,red_sea,11.96,45.25,52.25,27.2,0,
2023-09-27,red_sea,31.94,46.57,56.39,32.16,0,
2023-09-28,red_sea,48.18,46.65,54.66,36.73,0,
2023-09-29,red_sea,56.91,46.57,48.27,42.29,0,
2023-09-30,red_sea,54.01,44.69,35.87,42.85,0,
2023-10-01,red_sea,38.08,44.18,30.17,44.5,0,
2023-10-02,red_sea,38.4,43.69,32.51,58.59,0,
2023-10-03,red_sea,22.39,42.67,39.51,77.09,0,
2023-10-04,red_sea,50.44,44.59,48.37,95.59,0,
2023-10-05,red_sea,66.9,46.93,49.22,99.56,0,
2023-10-06,red_sea,66.98,48.68,45.58,99.37,0,
2023-10-07,red_sea,48.59,48.54,38.87,99.17,0,
2023-10-08,red_sea,39.65,50.43,44.47,99.41,0,
2023-10-09,red_sea,62.37,53.02,64.46,99.6,0,
2023-10-10,red_sea,80.9,54.04,74.36,94.95,0,
2023-10-11,red_sea,72.86,50.93,66.16,86.41,0,
2023-10-12,red_sea,77.25,48.94,58.7,77.27,0,
2023-10-13,red_sea,74.21,47.31,51.83,82.12,0,
2023-10-14,red_sea,65.37,45.75,56.27,90.86,1,"2023-2024 Houthi attacks on Red Sea shipping. Sources: Wikipedia timeline, Wilson Center, Washington Institute."
2023-10-15,red_sea,38.07,49.2,58.67,100.0,1,"2023-2024 Houthi attacks on Red Sea shipping. Sources: Wikipedia timeline, Wilson Center, Washington Institute."
2023-10-16,red_sea,35.06,51.31,61.58,100.0,1,"2023-2024 Houthi attacks on Red Sea shipping. Sources: Wikipedia timeline, Wilson Center, Washington Institute."
2023-10-17,red_sea,63.52,54.35,77.68,100.0,1,"2023-2024 Houthi attacks on Red Sea shipping. Sources: Wikipedia timeline, Wilson Center, Washington Institute."
2023-10-18,red_sea,92.41,51.58,83.15,96.1,1,"2023-2024 Houthi attacks on Red Sea shipping. Sources: Wikipedia timeline, Wilson Center, Washington Institute."
2023-10-19,red_sea,99.29,55.2,97.18,92.21,1,"2023-2024 Houthi attacks on Red Sea shipping. Sources: Wikipedia timeline, Wilson Center, Washington Institute."
2023-10-20,red_sea,100.0,62.07,97.18,75.34,1,"2023-2024 Houthi attacks on Red Sea shipping. Sources: Wikipedia timeline, Wilson Center, Washington Institute."
2023-10-21,red_sea,99.35,66.19,86.12,62.36,1,"2023-2024 Houthi attacks on Red Sea shipping. Sources: Wikipedia timeline, Wilson Center, Washington Institute."
2023-10-22,red_sea,97.42,66.03,75.74,49.39,1,"2023-2024 Houthi attacks on Red Sea shipping. Sources: Wikipedia timeline, Wilson Center, Washington Institute."
2023-10-23,red_sea,96.79,62.53,68.69,44.53,1,"2023-2024 Houthi attacks on Red Sea shipping. Sources: Wikipedia timeline, Wilson Center, Washington Institute."
2023-10-24,red_sea,93.13,60.89,79.51,45.27,1,"2023-2024 Houthi attacks on Red Sea shipping. Sources: Wikipedia timeline, Wilson Center, Washington Institute."
2023-10-25,red_sea,85.05,60.16,76.75,49.9,1,"2023-2024 Houthi attacks on Red Sea shipping. Sources: Wikipedia timeline, Wilson Center, Washington Institute."
2023-10-26,red_sea,81.51,60.53,68.38,58.54,1,"2023-2024 Houthi attacks on Red Sea shipping. Sources: Wikipedia timeline, Wilson Center, Washington Institute."
2023-10-27,red_sea,85.25,65.78,71.44,64.88,1,"2023-2024 Houthi attacks on Red Sea shipping. Sources: Wikipedia timeline, Wilson Center, Washington Institute."
2023-10-28,red_sea,91.23,68.59,71.98,67.33,1,"2023-2024 Houthi attacks on Red Sea shipping. Sources: Wikipedia timeline, Wilson Center, Washington Institute."
2023-10-29,red_sea,86.92,67.77,69.94,70.62,1,"2023-2024 Houthi attacks on Red Sea shipping. Sources: Wikipedia timeline, Wilson Center, Washington Institute."
2023-10-30,red_sea,78.61,63.19,58.03,69.88,1,"2023-2024 Houthi attacks on Red Sea shipping. Sources: Wikipedia timeline, Wilson Center, Washington Institute."
2023-10-31,red_sea,82.09,65.07,70.63,69.37,1,"2023-2024 Houthi attacks on Red Sea shipping. Sources: Wikipedia timeline, Wilson Center, Washington Institute."
2023-11-01,red_sea,90.56,69.38,88.09,65.99,1,"2023-2024 Houthi attacks on Red Sea shipping. Sources: Wikipedia timeline, Wilson Center, Washington Institute."
2023-11-02,red_sea,94.16,70.2,85.0,65.04,1,"2023-2024 Houthi attacks on Red Sea shipping. Sources: Wikipedia timeline, Wilson Center, Washington Institute."
2023-11-03,red_sea,78.56,63.79,69.5,61.57,1,"2023-2024 Houthi attacks on Red Sea shipping. Sources: Wikipedia timeline, Wilson Center, Washington Institute."
2023-11-04,red_sea,64.72,58.91,50.6,60.99,1,"2023-2024 Houthi attacks on Red Sea shipping. Sources: Wikipedia timeline, Wilson Center, Washington Institute."
2023-11-05,red_sea,60.92,55.12,46.96,58.7,1,"2023-2024 Houthi attacks on Red Sea shipping. Sources: Wikipedia timeline, Wilson Center, Washington Institute."
2023-11-06,red_sea,71.09,55.73,47.95,58.57,1,"2023-2024 Houthi attacks on Red Sea shipping. Sources: Wikipedia timeline, Wilson Center, Washington Institute."
2023-11-07,red_sea,76.61,57.97,52.42,58.83,1,"2023-2024 Houthi attacks on Red Sea shipping. Sources: Wikipedia timeline, Wilson Center, Washington Institute."
